Industry,Debt Weight,Cost of Capital
Retail (Building Supply),17,11.3
Software (Internet),11,10.6
Semiconductor Equip,7,10.4
Semiconductor,6,10.4
Paper/Forest Products,27,10.4
Software (System & Application),6,9.5
Shoe,8,9.3
Homebuilding,14,9.3
Auto & Truck,24,9.3
Building Materials,15,9.0
Heathcare Information and Technology,14,9.0
Retail (General),12,8.9
Electronics (Consumer & Office),15,8.9
Software (Entertainment),3,8.8
Computers/Peripherals,6,8.8
Coal & Related Energy,18,8.7
Advertising,25,8.6
Electrical Equipment,18,8.6
Education,16,8.6
Diversified,16,8.5
Drugs (Biotechnology),14,8.3
Auto Parts,28,8.3
Telecom. Equipment,10,8.3
Trucking,17,8.3
Restaurant/Dining,20,8.2
Healthcare Products,11,8.2
Retail (Automotive),37,8.2
Steel,17,8.2
Beverage (Alcoholic),20,8.1
Drugs (Pharmaceutical),14,8.1
Tobacco,26,8.0
Hotel/Gaming,33,8.0
Total Market (without financials),18,8.0
Machinery,14,7.9
Business & Consumer Services,15,7.9
Retail (Special Lines),27,7.9
Aerospace/Defense,20,7.8
Chemical (Specialty),21,7.8
Metals & Mining,14,7.7
Engineering/Construction,21,7.7
Retail (Distributors),24,7.7
Insurance (General),21,7.6
Healthcare Support Services,21,7.6
Construction Supplies,14,7.6
Apparel,33,7.6
Electronics (General),15,7.5
Entertainment,22,7.5
Transportation (Railroads),21,7.5
Computer Services,23,7.4
Transportation,24,7.4
Precious Metals,13,7.4
Oil/Gas (Production and Exploration),19,7.3
Chemical (Basic),31,7.3
Furn/Home Furnishings,32,7.3
Real Estate (Operations & Services),31,7.3
Environmental & Waste Services,18,7.3
Office Equipment & Services,34,7.3
Oilfield Svcs/Equip.,24,7.3
Recreation,37,7.3
Publishing & Newspapers,22,7.2
Farming/Agriculture,31,7.1
Information Services,26,7.0
Household Products,13,7.0
Total Market,32,7.0
Telecom (Wireless),39,7.0
Retail (REITs),37,6.9
Chemical (Diversified),41,6.9
Food Wholesalers,31,6.9
Beverage (Soft),15,6.9
Cable TV,50,6.8
Shipbuilding & Marine,23,6.7
Insurance (Prop/Cas.),16,6.7
Oil/Gas (Integrated),11,6.6
R.E.I.T.,44,6.3
Food Processing,27,6.2
Hospitals/Healthcare Facilities,44,6.1
Green & Renewable Energy,59,6.1
Air Transport,62,6.1
Utility (Water),34,6.0
Packaging & Container,42,6.0
Oil/Gas Distribution,41,6.0
Reinsurance,30,5.8
Real Estate (General/Diversified),24,5.8
Insurance (Life),48,5.7
Broadcasting,64,5.6
Telecom. Services,56,5.6
Real Estate (Development),48,5.4
Brokerage & Investment Banking,69,5.4
Retail (Grocery and Food),36,5.3
Investments & Asset Management,29,5.2
Power,48,5.2
Utility (General),46,5.1
Bank (Money Center),68,5.1
Financial Svcs. (Non-bank & Insurance),77,5.0
Rubber& Tires,70,4.8
Banks (Regional),50,4.7
