Year, Stock Market Index 
Jan-47,$100 
Feb-47,$99 
Mar-47,$97 
Apr-47,$93 
May-47,$92 
Jun-47,$97 
Jul-47,$101 
Aug-47,$99 
Sep-47,$99 
Oct-47,$101 
Nov-47,$99 
Dec-47,$102 
Jan-48,$98 
Feb-48,$94 
Mar-48,$102 
Apr-48,$105 
May-48,$113 
Jun-48,$113 
Jul-48,$108 
Aug-48,$108 
Sep-48,$105 
Oct-48,$111 
Nov-48,$101 
Dec-48,$104 
Jan-49,$104 
Feb-49,$101 
Mar-49,$106 
Apr-49,$104 
May-49,$101 
Jun-49,$101 
Jul-49,$107 
Aug-49,$110 
Sep-49,$113 
Oct-49,$117 
Nov-49,$119 
Dec-49,$125 
Jan-50,$127 
Feb-50,$129 
Mar-50,$131 
Apr-50,$136 
May-50,$142 
Jun-50,$134 
Jul-50,$136 
Aug-50,$143 
Sep-50,$150 
Oct-50,$150 
Nov-50,$154 
Dec-50,$163 
Jan-51,$172 
Feb-51,$175 
Mar-51,$171 
Apr-51,$180 
May-51,$176 
Jun-51,$171 
Jul-51,$184 
Aug-51,$192 
Sep-51,$193 
Oct-51,$189 
Nov-51,$190 
Dec-51,$196 
Jan-52,$200 
Feb-52,$195 
Mar-52,$203 
Apr-52,$194 
May-52,$200 
Jun-52,$208 
Jul-52,$210 
Aug-52,$209 
Sep-52,$205 
Oct-52,$204 
Nov-52,$216 
Dec-52,$223 
Jan-53,$223 
Feb-53,$222 
Mar-53,$219 
Apr-53,$214 
May-53,$215 
Jun-53,$211 
Jul-53,$217 
Aug-53,$207 
Sep-53,$208 
Oct-53,$218 
Nov-53,$224 
Dec-53,$225 
Jan-54,$236 
Feb-54,$241 
Mar-54,$250 
Apr-54,$260 
May-54,$269 
Jun-54,$272 
Jul-54,$285 
Aug-54,$279 
Sep-54,$297 
Oct-54,$292 
Nov-54,$320 
Dec-54,$337 
Jan-55,$340 
Feb-55,$350 
Mar-55,$350 
Apr-55,$361 
May-55,$365 
Jun-55,$389 
Jul-55,$397 
Aug-55,$399 
Sep-55,$398 
Oct-55,$388 
Nov-55,$416 
Dec-55,$423 
Jan-56,$411 
Feb-56,$427 
Mar-56,$456 
Apr-56,$458 
May-56,$436 
Jun-56,$452 
Jul-56,$474 
Aug-56,$460 
Sep-56,$437 
Oct-56,$441 
Nov-56,$443 
Dec-56,$458 
Jan-57,$443 
Feb-57,$435 
Mar-57,$445 
Apr-57,$465 
May-57,$483 
Jun-57,$480 
Jul-57,$485 
Aug-57,$461 
Sep-57,$435 
Oct-57,$417 
Nov-57,$428 
Dec-57,$412 
Jan-58,$433 
Feb-58,$427 
Mar-58,$441 
Apr-58,$455 
May-58,$466 
Jun-58,$480 
Jul-58,$501 
Aug-58,$511 
Sep-58,$536 
Oct-58,$550 
Nov-58,$568 
Dec-58,$598 
Jan-59,$604 
Feb-59,$610 
Mar-59,$613 
Apr-59,$637 
May-59,$650 
Jun-59,$650 
Jul-59,$672 
Aug-59,$664 
Sep-59,$634 
Oct-59,$644 
Nov-59,$656 
Dec-59,$674 
Jan-60,$629 
Feb-60,$639 
Mar-60,$630 
Apr-60,$621 
May-60,$642 
Jun-60,$657 
Jul-60,$642 
Aug-60,$662 
Sep-60,$624 
Oct-60,$621 
Nov-60,$651 
Dec-60,$682 
Jan-61,$726 
Feb-61,$753 
Mar-61,$776 
Apr-61,$780 
May-61,$800 
Jun-61,$777 
Jul-61,$800 
Aug-61,$822 
Sep-61,$806 
Oct-61,$828 
Nov-61,$866 
Dec-61,$866 
Jan-62,$835 
Feb-62,$851 
Mar-62,$847 
Apr-62,$793 
May-62,$727 
Jun-62,$666 
Jul-62,$710 
Aug-62,$727 
Sep-62,$690 
Oct-62,$692 
Nov-62,$768 
Dec-62,$778 
Jan-63,$818 
Feb-63,$801 
Mar-63,$827 
Apr-63,$867 
May-63,$884 
Jun-63,$868 
Jul-63,$867 
Aug-63,$913 
Sep-63,$901 
Oct-63,$927 
Nov-63,$922 
Dec-63,$941 
Jan-64,$965 
Feb-64,$982 
Mar-64,$999 
Apr-64,"$1,003 "
May-64,"$1,020 "
Jun-64,"$1,036 "
Jul-64,"$1,057 "
Aug-64,"$1,045 "
Sep-64,"$1,076 "
Oct-64,"$1,085 "
Nov-64,"$1,089 "
Dec-64,"$1,092 "
Jan-65,"$1,134 "
Feb-65,"$1,142 "
Mar-65,"$1,131 "
Apr-65,"$1,170 "
May-65,"$1,164 "
Jun-65,"$1,104 "
Jul-65,"$1,124 "
Aug-65,"$1,158 "
Sep-65,"$1,195 "
Oct-65,"$1,229 "
Nov-65,"$1,233 "
Dec-65,"$1,250 "
Jan-66,"$1,264 "
Feb-66,"$1,253 "
Mar-66,"$1,226 "
Apr-66,"$1,256 "
May-66,"$1,191 "
Jun-66,"$1,178 "
Jul-66,"$1,163 "
Aug-66,"$1,076 "
Sep-66,"$1,069 "
Oct-66,"$1,115 "
Nov-66,"$1,135 "
Dec-66,"$1,141 "
Jan-67,"$1,239 "
Feb-67,"$1,253 "
Mar-67,"$1,307 "
Apr-67,"$1,363 "
May-67,"$1,308 "
Jun-67,"$1,343 "
Jul-67,"$1,409 "
Aug-67,"$1,401 "
Sep-67,"$1,449 "
Oct-67,"$1,410 "
Nov-67,"$1,420 "
Dec-67,"$1,468 "
Jan-68,"$1,414 "
Feb-68,"$1,367 "
Mar-68,"$1,374 "
Apr-68,"$1,505 "
May-68,"$1,546 "
Jun-68,"$1,563 "
Jul-68,"$1,528 "
Aug-68,"$1,555 "
Sep-68,"$1,624 "
Oct-68,"$1,638 "
Nov-68,"$1,734 "
Dec-68,"$1,673 "
Jan-69,"$1,661 "
Feb-69,"$1,572 "
Mar-69,"$1,621 "
Apr-69,"$1,653 "
May-69,"$1,659 "
Jun-69,"$1,549 "
Jul-69,"$1,448 "
Aug-69,"$1,523 "
Sep-69,"$1,487 "
Oct-69,"$1,572 "
Nov-69,"$1,520 "
Dec-69,"$1,490 "
Jan-70,"$1,378 "
Feb-70,"$1,457 "
Mar-70,"$1,450 "
Apr-70,"$1,298 "
May-70,"$1,215 "
Jun-70,"$1,152 "
Jul-70,"$1,238 "
Aug-70,"$1,300 "
Sep-70,"$1,361 "
Oct-70,"$1,336 "
Nov-70,"$1,404 "
Dec-70,"$1,490 "
Jan-71,"$1,568 "
Feb-71,"$1,595 "
Mar-71,"$1,666 "
Apr-71,"$1,723 "
May-71,"$1,659 "
Jun-71,"$1,664 "
Jul-71,"$1,596 "
Aug-71,"$1,664 "
Sep-71,"$1,656 "
Oct-71,"$1,589 "
Nov-71,"$1,587 "
Dec-71,"$1,731 "
Jan-72,"$1,779 "
Feb-72,"$1,835 "
Mar-72,"$1,851 "
Apr-72,"$1,862 "
May-72,"$1,891 "
Jun-72,"$1,851 "
Jul-72,"$1,842 "
Aug-72,"$1,907 "
