Year, Stock Market Index ,Stock Market Return
1/1/1947,$100 ,1.30%
2/1/1947,$99 ,-1.10%
3/1/1947,$97 ,-1.60%
4/1/1947,$93 ,-4.80%
5/1/1947,$92 ,-0.90%
6/1/1947,$97 ,5.30%
7/1/1947,$101 ,4.20%
8/1/1947,$99 ,-1.70%
9/1/1947,$99 ,-0.50%
10/1/1947,$101 ,2.50%
11/1/1947,$99 ,-1.90%
12/1/1947,$102 ,3.10%
1/1/1948,$98 ,-3.90%
2/1/1948,$94 ,-4.30%
3/1/1948,$102 ,8.20%
4/1/1948,$105 ,3.70%
5/1/1948,$113 ,7.40%
6/1/1948,$113 ,0.00%
7/1/1948,$108 ,-5.00%
8/1/1948,$108 ,0.30%
9/1/1948,$105 ,-2.90%
10/1/1948,$111 ,6.00%
11/1/1948,$101 ,-9.30%
12/1/1948,$104 ,3.30%
1/1/1949,$104 ,0.30%
2/1/1949,$101 ,-2.80%
3/1/1949,$106 ,4.10%
4/1/1949,$104 ,-1.80%
5/1/1949,$101 ,-2.80%
6/1/1949,$101 ,0.20%
7/1/1949,$107 ,5.60%
8/1/1949,$110 ,2.70%
9/1/1949,$113 ,3.20%
10/1/1949,$117 ,3.20%
11/1/1949,$119 ,1.90%
12/1/1949,$125 ,5.20%
1/1/1950,$127 ,1.80%
2/1/1950,$129 ,1.60%
3/1/1950,$131 ,1.40%
4/1/1950,$136 ,4.00%
5/1/1950,$142 ,4.40%
6/1/1950,$134 ,-5.80%
7/1/1950,$136 ,1.50%
8/1/1950,$143 ,5.00%
9/1/1950,$150 ,4.90%
10/1/1950,$150 ,-0.10%
11/1/1950,$154 ,2.90%
12/1/1950,$163 ,5.70%
1/1/1951,$172 ,5.80%
2/1/1951,$175 ,1.50%
3/1/1951,$171 ,-2.00%
4/1/1951,$180 ,5.00%
5/1/1951,$176 ,-2.20%
6/1/1951,$171 ,-2.50%
7/1/1951,$184 ,7.10%
8/1/1951,$192 ,4.40%
9/1/1951,$193 ,0.80%
10/1/1951,$189 ,-2.40%
11/1/1951,$190 ,0.70%
12/1/1951,$196 ,3.50%
1/1/1952,$200 ,1.60%
2/1/1952,$195 ,-2.50%
3/1/1952,$203 ,4.60%
4/1/1952,$194 ,-4.90%
5/1/1952,$200 ,3.30%
6/1/1952,$208 ,4.00%
7/1/1952,$210 ,1.10%
8/1/1952,$209 ,-0.60%
9/1/1952,$205 ,-1.90%
10/1/1952,$204 ,-0.50%
11/1/1952,$216 ,6.00%
12/1/1952,$223 ,3.10%
1/1/1953,$223 ,-0.20%
2/1/1953,$222 ,-0.10%
3/1/1953,$219 ,-1.30%
4/1/1953,$214 ,-2.70%
5/1/1953,$215 ,0.70%
6/1/1953,$211 ,-1.70%
7/1/1953,$217 ,2.60%
8/1/1953,$207 ,-4.40%
9/1/1953,$208 ,0.40%
10/1/1953,$218 ,4.70%
11/1/1953,$224 ,2.90%
12/1/1953,$225 ,0.20%
1/1/1954,$236 ,5.20%
2/1/1954,$241 ,1.70%
3/1/1954,$250 ,3.70%
4/1/1954,$260 ,4.40%
5/1/1954,$269 ,3.10%
6/1/1954,$272 ,1.10%
7/1/1954,$285 ,5.00%
8/1/1954,$279 ,-2.30%
9/1/1954,$297 ,6.50%
10/1/1954,$292 ,-1.60%
11/1/1954,$320 ,9.40%
12/1/1954,$337 ,5.60%
1/1/1955,$340 ,0.70%
2/1/1955,$350 ,3.10%
3/1/1955,$350 ,-0.10%
4/1/1955,$361 ,3.20%
5/1/1955,$365 ,1.10%
