Company,9/30/2008
1 800 FLOWERS COM INC,-2.0
1ST CONSTITUTION BANCORP,-23.3
1ST SOURCE CORP,8.1
21ST CENTURY HOLDING CO,-21.6
3 D SYSTEMS CORP DEL,16.6
3M CO,-4.6
51JOB INC,-16.7
8X8 INC NEW,-15.5
A A R CORP,4.5
A B B LTD,-21.0
A B M INDUSTRIES INC,-16.9
A B X AIR INC,-25.3
A C C O BRANDS CORP,-11.2
A C I WORLDWIDE INC,-3.3
A E P INDUSTRIES INC,7.4
A E S CORP,-23.4
A F C ENTERPRISES INC,-20.0
A G C O CORP,-30.9
A G I C CONVERTIBLE & INC FD II,-29.9
A G I C CONVERTIBLE & INCOME FD,-29.1
A K STEEL HOLDING CORP,-50.7
A M A G PHARMACEUTICALS INC,0.1
A M B PROPERTY CORP,-0.2
A M N HEALTHCARE SERVICES INC,-7.5
A N I PHARMACEUTICALS INC,-5.4
A P A ENTERPRISES INC,-10.8
A R C DOCUMENTS SOLUTIONS INC,-2.6
A S A BERMUDA LTD,-13.9
A S M L HOLDING N V,-25.5
A T & T INC,-12.7
A T N INTERNATIONAL INC,-15.8
A U OPTRONICS CORP,-4.9
A V HOMES INC,3.8
A V I BIOPHARMA INC,8.0
A V X CORP NEW,-11.2
A X T INC,-47.9
A Z Z INC,-4.8
AAON INC,-14.8
AARON RENTS INC,-7.8
AASTROM BIOSCIENCES INC,-20.6
ABAXIS INC,-1.0
ABBOTT LABORATORIES,0.3
ABER DIAMOND CORP,-31.3
ABERCROMBIE & FITCH CO,-24.8
ABERDEEN ASIA PACIFIC INCOME FD,-12.5
ABERDEEN AUSTRALIA EQUITY FD INC,-19.1
ABERDEEN CHILE FUND INC,-16.8
ABERDEEN EMERG MKTS TEL FD INC,-19.2
ABERDEEN GLOBAL INCOME FD INC,-11.2
ABERDEEN GREATER CHINA FUND INC,-20.4
ABERDEEN INDONESIA FUND INC,-21.7
ABERDEEN ISRAEL FUND INC,-21.2
ABERDEEN JAPAN EQUITY FUND INC,-13.6
ABERDEEN LATIN AMERICA EQUITY FD,-19.9
ABERDEEN SINGAPORE FUND INC,-14.9
ABIOMED INC,-1.5
ABRAXAS PETROLEUM CORP,-27.7
ACACIA RESEARCH CORP,-24.3
ACACIA RESEARCH CORP,3.9
ACADIA PHARMACEUTICALS,5.1
ACADIA REALTY TRUST,7.3
ACCELERATE DIAGNOSTICS INC,-2.7
ACCENTURE LTD BERMUDA,-8.1
ACCESS INTEGRATED TECHNLGS INC,-14.4
ACCESS NATIONAL CORP,-6.4
ACE LTD,2.9
ACETO CORP,12.3
ACHILLION PHARMACEUTICALS INC,-46.5
ACME UNITED CORP,-11.3
ACORDA THERAPEUTICS INC,-15.3
ACRE REALTY INVESTORS INC,-13.0
ACTAVIS INC,-6.0
ACTIVISION BLIZZARD INC,-6.0
ACTUA CORP,-4.0
ACTUANT CORP,-19.9
ACUITY BRANDS INC,-4.0
ACXIOM CORP,-13.2
ADAMS EXPRESS CO,-11.4
ADAMS NATURAL RESOURCES FUND INC,-20.4
ADAMS RESOURCES & ENERGY INC,-18.6
ADCARE HEALTH SYSTEMS INC,-12.3
ADDVANTAGE TECHNOLOGIES GRP INC,-14.3
ADMINISTAFF INC,-0.7
ADOBE SYSTEMS INC,-7.8
ADTRAN INC,-14.5
ADVANCE AUTO PARTS INC,-7.7
ADVANCED ENERGY INDUSTRIES INC,-15.2
ADVANCED MICRO DEVICES INC,-16.5
ADVANCED SEMICONDUCTOR ENGR INC,-28.9
ADVANTAGE ENERGY INCOME FUND,-18.0
ADVENT CLAYMORE CONV SECS INC FD,-17.6
ADVENT CLAYMORE ENH GR & INC FD,-20.0
ADVENTRX PHARMACEUTICALS INC,-32.2
ADVISORY BOARD CO,-2.4
ADVOCAT INC,-29.2
AEGEAN MARINE PETROLEUM NETW INC,-28.1
AEGION CORP,-18.5
AEGON N V,-25.5
AEHR TEST SYSTEMS,-15.1
AERCAP HOLDINGS N V,-23.5
AEROCENTURY CORP,1.9
AEROJET ROCKETDYNE HOLDINGS INC,-13.7
AETERNA ZENTARIS INC,-48.2
AETNA INC NEW,-16.3
AFFILIATED MANAGERS GROUP INC,-13.0
AFFORDABLE RESIDENTIAL CMNTYS IN,-0.9
AFLAC INC,3.6
AGENUS INC,-9.2
AGILENT TECHNOLOGIES INC,-14.7
AGILYSYS INC,-22.4
AGNICO EAGLE MINES LTD,-3.8
AGREE REALTY CORP,8.1
AGRIUM INC,-33.5
AIR METHODS CORP,-1.9
AIR PRODUCTS & CHEMICALS INC,-25.0
AIR T INC,-20.6
AIRCASTLE LTD,-23.4
AIXTRON AKTIENGESELLSCHAFT,-42.7
AKAMAI TECHNOLOGIES INC,-23.8
AKORN INC,5.8
ALAMO GROUP INC,-18.5
ALASKA AIRGROUP INC,-3.0
ALASKA COMMUNICATIONS SYS GRP IN,18.3
ALBANY INTERNATIONAL CORP NEW,-10.5
ALBANY MOLECULAR RESEARCH INC,3.8
ALBEMARLE CORP,-22.1
ALCOA INC,-29.7
ALERE INC,-15.5
ALESCO FINANCIAL INC,-13.5
ALEXANDER & BALDWIN HLDGS INC,-1.6
ALEXANDERS INC,4.1
ALEXANDRIA REAL EST EQUITIES INC,5.2
ALEXION PHARMACEUTICALS INC,-12.8
ALICO INC,9.9
ALIGN TECHNOLOGY INC,-16.9
ALKERMES INC,-0.5
ALLEGHANY CORP DE,14.1
ALLEGHENY TECHNOLOGIES,-39.7
ALLEGIANT TRAVEL CO,13.9
ALLETE INC,5.4
ALLIANCE CA MUN INC FD,-14.2
ALLIANCE DATA SYSTEMS CORP,-1.3
ALLIANCE HEALTHCARE SERVICES INC,-11.5
ALLIANCE HOLDINGS G P L P,-28.7
ALLIANCE NATIONAL MUN INC FD,-19.1
ALLIANCE ONE INTERNATIONAL INC,-5.5
ALLIANCE RESOURCE PARTNERS,-32.4
ALLIANCEBERNSTEIN GLBL HIGH INC,-18.8
ALLIANCEBERNSTEIN HOLDING L P,-31.8
ALLIANT ENERGY CORP,-7.8
ALLIANT TECHSYSTEMS INC,-10.7
ALLIANZGI N F J DIV INT & PR STR,-14.7
ALLIED HEALTHCARE PRODUCTS INC,-10.8
ALLIED MOTION TECHNOLOGIES INC,0.0
ALLIED WORLD ASSUR CO HLDGS AG,-8.0
ALLOT COMMUNICATIONS LTD,-2.0
ALLSCRIPTS HEALTHCARE SOLNS INC,-13.2
ALLSTATE CORP,2.2
ALMADEN MINERALS LTD,-17.6
ALMOST FAMILY INC,-12.5
ALNYLAM PHARMACEUTICALS INC,-2.4
ALON U S A ENERGY INC,10.6
ALPHA PRO TECH LTD,17.5
ALPHABET INC,-13.5
ALPHATEC HOLDINGS INC,-4.0
ALPINE GLOBAL DYNAMIC DIVID FD,-21.4
ALTO PALERMO S A,-28.4
ALTRA HOLDINGS INC,-18.0
ALTRIA GROUP INC,-4.1
ALUMINUM CORP CHINA LTD,-30.6
AMARIN CORP PLC,-37.1
AMAZON COM INC,-10.0
AMBEV SA,-14.4
AMCON DISTRIBUTING CO,-21.4
AMDOCS LTD,-9.3
AMEDISYS INC,-8.5
AMERCO,0.6
AMEREN CORP,-5.2
AMERICA MOVIL S A B DE C V,-9.8
AMERICA MOVIL S A B DE C V,-10.2
AMERICAN ACCESS TECHNOLOGIES INC,-23.0
AMERICAN AXLE & MFG HLGDS INC,10.7
AMERICAN CAMPUS COMMUNITIES INC,11.7
AMERICAN CAPITAL LTD,17.3
AMERICAN EAGLE OUTFITTERS INC NE,2.0
AMERICAN ECOLOGY CORP,-14.8
AMERICAN ELECTRIC POWER CO INC,-5.1
AMERICAN EQUITY INVT LIFE HLDG C,-18.4
AMERICAN EXPRESS CO,-10.7
AMERICAN FINANCIAL GROUP INC NEW,3.4
AMERICAN INCOME FUND INC,-15.5
AMERICAN INTERNATIONAL GROUP INC,-83.5
AMERICAN NATIONAL BANKSHARES INC,8.3
AMERICAN NATIONAL INS CO,-8.7
AMERICAN RAILCAR INDUSTRIES INC,-1.0
AMERICAN REAL ESTATE PARTNERS LP,-29.4
AMERICAN REALTY INVESTORS INC,4.8
AMERICAN RIVER BANKSHARES,-3.4
AMERICAN SHARED HOSPITAL SVCS,-28.6
AMERICAN SOFTWARE INC,-8.2
AMERICAN STATES WATER CO,-2.6
AMERICAN SUPERCONDUCTOR CORP,-4.1
AMERICAN TECHNOLOGY CORP,-23.7
AMERICAN TOWER CORP,-13.0
AMERICAN VANGUARD CORP,1.8
AMERICAN WOODMARK CORP,-5.1
AMERICAS CAR MART INC,-1.7
AMERIGAS PARTNERS LP,-5.2
AMERIGON INC,-5.1
AMERIPRISE FINANCIAL INC,-15.0
AMERIS BANCORP,24.0
AMERISAFE INC,-1.6
AMERISERV FINANCIAL INC,-11.3
AMERISOURCEBERGEN CORP,-8.2
AMES NATL CORP,13.0
AMETEK INC NEW,-15.9
AMGEN INC,-5.7
AMKOR TECHNOLOGY INC,-15.2
AMPCO PITTSBURGH CORP,-40.4
AMPHENOL CORP NEW,-15.5
AMREP CORP,-21.5
AMSURG CORP,-6.0
AMTECH SYSTEMS INC,-17.1
AMTRUST FINANCIAL SERVICES INC,-3.0
AMVESCAP PLC,-18.1
ANADARKO PETROLEUM CORP,-21.3
ANALOG DEVICES INC,-5.8
ANALOGIC CORP,-26.5
ANDERSONS INC,-21.5
ANGEION CORP,-3.1
ANGIODYNAMICS INC,-3.8
ANGLOGOLD ASHANTI LTD,-14.2
ANIKA THERAPEUTICS INC,-15.4
ANIXTER INTERNATIONAL INC,-19.4
ANNALY CAPITAL MANAGEMENT INC,-6.4
ANSWERTHINK INC,-15.0
ANSYS INC,-14.6
ANTARES PHARMA INC,-2.7
ANTHEM INC,-11.4
ANWORTH MORTGAGE ASSET CORP,-9.5
AON CORP,-5.3
APACHE CORP,-8.8
APARTMENT INVESTMENT & MGMT CO,-1.2
APOGEE ENTERPRISES INC,-24.9
APOLLO EDUCATION GROUP INC,-6.9
APOLLO INVESTMENT CORP,-0.7
APPLE INC,-33.0
APPLIANCE RECYCLING CTRS AMR INC,-20.1
APPLIED INDUSTRIAL TECHS INC,-7.5
APPLIED MATERIALS INC,-15.6
APPLIED MICRO CIRCUITS CORP,-24.9
APRICUS BIOSCIENCES INC,-36.7
APTARGROUP INC,-3.2
AQUA AMERICA INC,-2.8
ARALEZ PHARMACEUTICALS INC,-8.8
ARBOR REALTY TRUST INC,13.5
ARCA BIOPHARMA INC,-11.1
ARCBEST CORP,-2.7
ARCELORMITTAL,-36.7
ARCH CAPITAL GROUP LTD NEW,4.7
ARCHER DANIELS MIDLAND CO,-13.9
ARCHROCK PARTNERS L P,-31.4
ARCTIC CAT INC,-11.4
ARENA PHARMACEUTICALS INC,-17.6
ARES CAPITAL CORP,-10.3
ARGO GROUP INTL HLDGS LTD,-2.0
ARIAD PHARMACEUTICALS INC,-20.6
ARK RESTAURANTS CORP,-30.4
ARLINGTON ASSET INVESTMENT CORP,9.3
ARMSTRONG WORLD INDS INC NEW,-22.5
AROTECH CORP,-24.7
ARQULE INC,-8.5
ARRAY BIOPHARMA INC,-6.0
ARRHYTHMIA RESEARCH TECH INC,-34.0
