Industry,beta
Advertising,1.37
Aerospace/Defense,1.08
Air Transport,1.27
Apparel,1.19
Auto & Truck,1.52
Auto Parts,1.34
Bank (Money Center),1.06
Banks (Regional),0.46
Beverage (Alcoholic),1.13
Beverage (Soft),0.76
Broadcasting,1.06
Brokerage & Investment Banking,1.12
Building Materials,1.32
Business & Consumer Services,1.02
Cable TV,1.28
Chemical (Basic),1.1
Chemical (Diversified),1.13
Chemical (Specialty),1.09
Coal & Related Energy,1.27
Computer Services,1
Computers/Peripherals,1.13
Construction Supplies,0.94
Diversified,1.19
Drugs (Biotechnology),1.12
Drugs (Pharmaceutical),1.03
Education,1.23
Electrical Equipment,1.24
Electronics (Consumer & Office),1.3
Electronics (General),0.93
Engineering/Construction,1.06
Entertainment,0.99
Environmental & Waste Services,0.91
Farming/Agriculture,0.99
Financial Svcs. (Non-bank & Insurance),1.14
Food Processing,0.71
Food Wholesalers,0.97
Furn/Home Furnishings,1.11
Green & Renewable Energy,1.11
Healthcare Products,1.06
Healthcare Support Services,1.03
Heathcare Information and Technology,1.27
Homebuilding,1.37
Hospitals/Healthcare Facilities,0.88
Hotel/Gaming,1.34
Household Products,0.78
Information Services,0.93
Insurance (General),1.03
Insurance (Life),0.77
Insurance (Prop/Cas.),0.74
Investments & Asset Management,0.46
Machinery,1.03
Metals & Mining,0.96
Office Equipment & Services,1.14
Oil/Gas (Integrated),0.67
Oil/Gas (Production and Exploration),0.93
Oil/Gas Distribution,0.79
Oilfield Svcs/Equip.,0.98
Packaging & Container,0.87
Paper/Forest Products,1.94
Power,0.65
Precious Metals,0.87
Publishing & Newspapers,0.92
R.E.I.T.,1.02
Real Estate (Development),0.67
Real Estate (General/Diversified),0.56
Real Estate (Operations & Services),1.08
Recreation,1.17
Reinsurance,0.66
Restaurant/Dining,1.19
Retail (Automotive),1.49
Retail (Building Supply),1.94
Retail (Distributors),1.11
Retail (General),1.25
Retail (Grocery and Food),0.49
Retail (REITs),1.12
Retail (Special Lines),1.18
Rubber& Tires,0.67
Semiconductor,1.5
Semiconductor Equip,1.53
Shipbuilding & Marine,0.81
Shoe,1.29
Software (Entertainment),1.11
Software (Internet),1.62
Software (System & Application),1.29
Steel,1.13
Telecom (Wireless),1.09
Telecom. Equipment,1.08
Telecom. Services,0.78
Tobacco,1.22
Total Market,1
Total Market (without financials),1.1
Transportation,1
Transportation (Railroads),1.02
Trucking,1.15
Utility (General),0.58
Utility (Water),0.71
