Year, Stock Market Index 
1/1/1947,$100 
2/1/1947,$99 
3/1/1947,$97 
4/1/1947,$93 
5/1/1947,$92 
6/1/1947,$97 
7/1/1947,$101 
8/1/1947,$99 
9/1/1947,$99 
10/1/1947,$101 
11/1/1947,$99 
12/1/1947,$102 
1/1/1948,$98 
2/1/1948,$94 
3/1/1948,$102 
4/1/1948,$105 
5/1/1948,$113 
6/1/1948,$113 
7/1/1948,$108 
8/1/1948,$108 
9/1/1948,$105 
10/1/1948,$111 
11/1/1948,$101 
12/1/1948,$104 
1/1/1949,$104 
2/1/1949,$101 
3/1/1949,$106 
4/1/1949,$104 
5/1/1949,$101 
6/1/1949,$101 
7/1/1949,$107 
8/1/1949,$110 
9/1/1949,$113 
10/1/1949,$117 
11/1/1949,$119 
12/1/1949,$125 
1/1/1950,$127 
2/1/1950,$129 
3/1/1950,$131 
4/1/1950,$136 
5/1/1950,$142 
6/1/1950,$134 
7/1/1950,$136 
8/1/1950,$143 
9/1/1950,$150 
10/1/1950,$150 
11/1/1950,$154 
12/1/1950,$163 
1/1/1951,$172 
2/1/1951,$175 
3/1/1951,$171 
4/1/1951,$180 
5/1/1951,$176 
6/1/1951,$171 
7/1/1951,$184 
8/1/1951,$192 
9/1/1951,$193 
10/1/1951,$189 
11/1/1951,$190 
12/1/1951,$196 
1/1/1952,$200 
2/1/1952,$195 
3/1/1952,$203 
4/1/1952,$194 
5/1/1952,$200 
6/1/1952,$208 
7/1/1952,$210 
8/1/1952,$209 
9/1/1952,$205 
10/1/1952,$204 
11/1/1952,$216 
12/1/1952,$223 
1/1/1953,$223 
2/1/1953,$222 
3/1/1953,$219 
4/1/1953,$214 
5/1/1953,$215 
6/1/1953,$211 
7/1/1953,$217 
8/1/1953,$207 
9/1/1953,$208 
10/1/1953,$218 
11/1/1953,$224 
12/1/1953,$225 
1/1/1954,$236 
2/1/1954,$241 
3/1/1954,$250 
4/1/1954,$260 
5/1/1954,$269 
6/1/1954,$272 
7/1/1954,$285 
8/1/1954,$279 
9/1/1954,$297 
10/1/1954,$292 
11/1/1954,$320 
12/1/1954,$337 
1/1/1955,$340 
2/1/1955,$350 
3/1/1955,$350 
4/1/1955,$361 
