Year,Index,Return
1/1/1947,100,1.3
2/1/1947,99,-1.1
3/1/1947,97,-1.6
4/1/1947,93,-4.8
5/1/1947,92,-0.9
6/1/1947,97,5.3
7/1/1947,101,4.2
8/1/1947,99,-1.7
9/1/1947,99,-0.5
10/1/1947,101,2.5
11/1/1947,99,-1.9
12/1/1947,102,3.1
1/1/1948,98,-3.9
2/1/1948,94,-4.3
3/1/1948,102,8.2
4/1/1948,105,3.7
5/1/1948,113,7.4
6/1/1948,113,0
7/1/1948,108,-5
8/1/1948,108,0.3
9/1/1948,105,-2.9
10/1/1948,111,6
11/1/1948,101,-9.3
12/1/1948,104,3.3
1/1/1949,104,0.3
2/1/1949,101,-2.8
3/1/1949,106,4.1
4/1/1949,104,-1.8
5/1/1949,101,-2.8
6/1/1949,101,0.2
7/1/1949,107,5.6
8/1/1949,110,2.7
9/1/1949,113,3.2
10/1/1949,117,3.2
11/1/1949,119,1.9
12/1/1949,125,5.2
1/1/1950,127,1.8
2/1/1950,129,1.6
3/1/1950,131,1.4
4/1/1950,136,4
5/1/1950,142,4.4
6/1/1950,134,-5.8
7/1/1950,136,1.5
8/1/1950,143,5
9/1/1950,150,4.9
10/1/1950,150,-0.1
11/1/1950,154,2.9
12/1/1950,163,5.7
1/1/1951,172,5.8
2/1/1951,175,1.5
3/1/1951,171,-2
4/1/1951,180,5
5/1/1951,176,-2.2
6/1/1951,171,-2.5
7/1/1951,184,7.1
8/1/1951,192,4.4
9/1/1951,193,0.8
10/1/1951,189,-2.4
11/1/1951,190,0.7
12/1/1951,196,3.5
1/1/1952,200,1.6
2/1/1952,195,-2.5
3/1/1952,203,4.6
4/1/1952,194,-4.9
5/1/1952,200,3.3
6/1/1952,208,4
7/1/1952,210,1.1
8/1/1952,209,-0.6
9/1/1952,205,-1.9
10/1/1952,204,-0.5
11/1/1952,216,6
12/1/1952,223,3.1
1/1/1953,223,-0.2
2/1/1953,222,-0.1
3/1/1953,219,-1.3
4/1/1953,214,-2.7
5/1/1953,215,0.7
6/1/1953,211,-1.7
7/1/1953,217,2.6
8/1/1953,207,-4.4
9/1/1953,208,0.4
10/1/1953,218,4.7
11/1/1953,224,2.9
12/1/1953,225,0.2
1/1/1954,236,5.2
2/1/1954,241,1.7
3/1/1954,250,3.7
4/1/1954,260,4.4
5/1/1954,269,3.1
6/1/1954,272,1.1
7/1/1954,285,5
8/1/1954,279,-2.3
9/1/1954,297,6.5
10/1/1954,292,-1.6
11/1/1954,320,9.4
12/1/1954,337,5.6
1/1/1955,340,0.7
2/1/1955,350,3.1
3/1/1955,350,-0.1
4/1/1955,361,3.2
5/1/1955,365,1.1
6/1/1955,389,6.7
7/1/1955,397,2
8/1/1955,399,0.4
9/1/1955,398,-0.2
10/1/1955,388,-2.5
